Selecing 1146 Galaxies with the highest SFRs across all halos in this snapshot, but you may want to galaxies based on different criteria.

Selecing 1146 Galaxies with the highest SFRs across snapshot 'snapRange', but you may want to galaxies based on different criteria.
Note to self: Remember to change variable global_save_files in param.py so that naming is consistent with Ngalaxies we are picking here
       GAL        SFR  halo  snap
0        0  48.998984     0    36
1        1   9.890266     1    36
2        2   7.145153     3    36
3        3   6.897720    14    36
4        4   6.272914     2    36
5        5   4.712578     4    36
6        6   3.069797    10    36
7        7   2.336200    19    36
8        8   2.118592     8    36
9        9   2.082082     7    36
10      10   1.948279     5    36
11      11   1.809001    18    36
12      12   1.692693     9    36
13      13   1.472985    13    36
14      14   1.466417    20    36
15      15   1.300180    23    36
16      16   1.199755    16    36
17      17   0.928031     1    36
18      18   0.926186    77    36
19      19   0.905975     0    36
20      20   0.880127    46    36
21      21   0.848732     6    36
22      22   0.798245    12    36
23      23   0.736903     2    36
24      24   0.707082    11    36
25      25   0.696514    43    36
26      26   0.666232    24    36
27      27   0.556035    28    36
28      28   0.552865    85    36
29      29   0.546988    75    36
...    ...        ...   ...   ...
1116  1116   0.004022   757    36
1117  1117   0.003983  2023    36
1118  1118   0.003953  1974    36
1119  1119   0.003870  3167    36
1120  1120   0.003764    74    36
1121  1121   0.003702  3170    36
1122  1122   0.003624  1264    36
1123  1123   0.003602   735    36
1124  1124   0.003564  1102    36
1125  1125   0.003489  2624    36
1126  1126   0.003448  1896    36
1127  1127   0.003397  2409    36
1128  1128   0.003216  3207    36
1129  1129   0.003172   667    36
1130  1130   0.002848  2115    36
1131  1131   0.002835  1397    36
1132  1132   0.002832     0    36
1133  1133   0.002814    20    36
1134  1134   0.002739  2633    36
1135  1135   0.002697  1153    36
1136  1136   0.002453   894    36
1137  1137   0.002438     5    36
1138  1138   0.001370     3    36
1139  1139   0.001193     5    36
1140  1140   0.000735     3    36
1141  1141   0.000000     0    36
1142  1142   0.000000     0    36
1143  1143   0.000000     3    36
1144  1144   0.000000     0    36
1145  1145   0.000000     0    36

[1146 rows x 4 columns]
