Info on the massive 1146 galaxies across all haloes: 

## Largest 1146 galaxies
## from: /disk01/rad/sim/m25n1024/s50/Groups/m25n1024_036.hdf5
## 1146 @ z=5.930

 ID    Mstar     Mgas      SFR       r         fgas   nrho      Central	|  Mhalo     HID
 ----------------------------------------------------------------------------------------
 0000  6.53e+09  2.54e+10  4.90e+01  2.10e+01  0.795  2.29e-08  True	|  1.21e+12  0 
 0001  2.34e+09  1.13e+10  7.15e+00  1.52e+01  0.828  1.91e-08  True	|  5.32e+11  3 
 0002  7.34e+08  1.28e+10  6.27e+00  1.10e+01  0.946  1.91e-08  True	|  5.40e+11  2 
 0003  1.86e+09  7.75e+09  4.71e+00  7.20e+00  0.806  5.73e-09  True	|  3.58e+11  4 
 0004  1.79e+09  6.06e+09  9.89e+00  9.36e+00  0.772  1.34e-08  True	|  5.69e+11  1 
 0005  5.59e+08  7.26e+09  2.12e+00  1.25e+01  0.928  5.73e-09  True	|  2.12e+11  8 
 0006  3.15e+08  5.97e+09  1.69e+00  8.93e+00  0.950  5.73e-09  True	|  2.05e+11  9 
 0007  5.08e+08  5.47e+09  7.07e-01  1.28e+01  0.915  5.73e-09  True	|  1.95e+11  11 
 0008  2.32e+08  4.82e+09  1.47e+00  8.35e+00  0.954  7.64e-09  True	|  1.35e+11  20 
 0009  2.81e+08  4.69e+09  2.34e+00  5.57e+00  0.943  1.91e-09  True	|  1.35e+11  19 
 0010  8.09e+08  4.12e+09  6.90e+00  5.65e+00  0.836  3.82e-09  True	|  1.65e+11  14 
 0011  1.82e+08  4.33e+09  1.30e+00  6.55e+00  0.960  3.82e-09  True	|  1.17e+11  23 
 0012  1.08e+08  4.20e+09  9.06e-01  1.39e+01  0.975  1.53e-08  False	|  1.21e+12  0 
 0013  2.43e+08  3.96e+09  2.08e+00  1.48e+01  0.942  1.72e-08  True	|  2.35e+11  7 
 0014  4.82e+08  3.68e+09  3.07e+00  7.78e+00  0.884  5.73e-09  True	|  2.00e+11  10 
