Info on the massive 50 halos out of the 665414 halos: 

## Largest 50 halos
## from: /disk01/rad/sim/m25n1024/s50/Groups/m25n1024_036.hdf5
## 665414 @ z=5.930

 ID    Mdm       Mstar     Mgas      r         fgas   nrho	|  CentralGalMstar
 ---------------------------------------------------------------------------------
 0000  1.05e+12  8.13e+09  1.49e+11  1.40e+02  0.948  3.02e-07	|  6.53e+09 
 0001  4.98e+11  2.47e+09  6.81e+10  1.02e+02  0.965  3.97e-07	|  1.79e+09 
 0002  4.66e+11  1.24e+09  7.20e+10  1.03e+02  0.983  4.22e-07	|  7.34e+08 
 0003  4.66e+11  2.74e+09  6.33e+10  7.09e+01  0.958  3.38e-07	|  2.34e+09 
 0004  3.17e+11  2.00e+09  3.93e+10  6.75e+01  0.952  2.85e-07	|  1.86e+09 
 0005  2.65e+11  1.48e+09  3.12e+10  5.63e+01  0.955  2.83e-07	|  1.19e+09 
 0006  2.47e+11  5.03e+08  3.23e+10  8.34e+01  0.985  2.62e-07	|  1.98e+08 
 0007  2.06e+11  4.28e+08  2.89e+10  7.65e+01  0.985  2.79e-07	|  2.43e+08 
 0008  1.88e+11  6.64e+08  2.40e+10  4.08e+01  0.973  2.69e-07	|  5.59e+08 
 0009  1.81e+11  4.09e+08  2.30e+10  5.08e+01  0.983  2.22e-07	|  3.15e+08 
 0010  1.76e+11  5.97e+08  2.40e+10  6.05e+01  0.976  1.99e-07	|  4.82e+08 
 0011  1.72e+11  6.07e+08  2.24e+10  4.32e+01  0.974  3.07e-07	|  5.08e+08 
 0012  1.61e+11  4.51e+08  2.09e+10  7.53e+01  0.979  1.76e-07	|  3.19e+08 
 0013  1.63e+11  5.28e+08  1.92e+10  5.79e+01  0.973  3.25e-07	|  4.33e+08 
 0014  1.47e+11  8.35e+08  1.73e+10  4.18e+01  0.954  1.74e-07	|  8.09e+08 
 0015  1.39e+11  1.77e+08  1.91e+10  1.50e+02  0.991  1.91e-07	|  3.29e+07 
 0016  1.35e+11  3.11e+08  1.90e+10  1.03e+02  0.984  2.12e-07	|  2.19e+08 
 0017  1.32e+11  1.26e+08  1.85e+10  1.03e+02  0.993  2.92e-07	|  5.83e+07 
 0018  1.30e+11  4.78e+08  1.68e+10  4.82e+01  0.972  2.44e-07	|  4.21e+08 
 0019  1.19e+11  3.35e+08  1.58e+10  4.07e+01  0.979  1.81e-07	|  2.81e+08 
 0020  1.21e+11  2.91e+08  1.36e+10  4.28e+01  0.979  1.87e-07	|  2.32e+08 
 0021  1.09e+11  2.07e+08  1.63e+10  4.92e+01  0.987  2.37e-07	|  1.23e+08 
 0022  1.06e+11  1.67e+08  1.40e+10  7.12e+01  0.988  1.78e-07	|  1.10e+08 
 0023  1.03e+11  2.16e+08  1.35e+10  3.89e+01  0.984  2.37e-07	|  1.82e+08 
 0024  1.02e+11  2.20e+08  1.36e+10  3.54e+01  0.984  1.76e-07	|  1.72e+08 
 0025  1.00e+11  2.82e+08  1.11e+10  4.62e+01  0.975  1.74e-07	|  2.42e+08 
 0026  9.39e+10  7.40e+07  1.29e+10  6.41e+01  0.994  1.97e-07	|  3.27e+07 
 0027  9.36e+10  1.41e+08  1.29e+10  7.05e+01  0.989  2.01e-07	|  1.12e+08 
 0028  9.41e+10  2.38e+08  1.02e+10  4.81e+01  0.977  3.17e-07	|  2.01e+08 
 0029  8.84e+10  1.68e+08  1.09e+10  5.99e+01  0.985  2.02e-07	|  1.33e+08 
 0030  8.57e+10  1.02e+08  1.20e+10  8.84e+01  0.992  1.18e-07	|  1.61e+07 
 0031  8.36e+10  7.46e+07  1.30e+10  5.03e+01  0.994  1.83e-07	|  4.32e+07 
 0032  8.38e+10  1.59e+08  9.95e+09  6.27e+01  0.984  1.41e-07	|  1.14e+08 
 0033  8.24e+10  1.06e+08  9.57e+09  7.26e+01  0.989  2.29e-07	|  5.45e+07 
 0034  8.03e+10  1.21e+08  1.05e+10  6.15e+01  0.989  2.02e-07	|  3.90e+07 
 0035  7.80e+10  8.46e+07  1.11e+10  5.64e+01  0.992  1.78e-07	|  2.46e+07 
 0036  7.91e+10  1.61e+08  9.26e+09  3.58e+01  0.983  2.54e-07	|  1.10e+08 
 0037  7.61e+10  7.65e+07  1.23e+10  7.14e+01  0.994  2.02e-07	|  2.50e+07 
 0038  7.71e+10  1.27e+08  1.09e+10  3.79e+01  0.989  1.74e-07	|  9.36e+07 
 0039  7.82e+10  1.28e+08  9.79e+09  4.30e+01  0.987  1.64e-07	|  9.36e+07 
 0040  7.62e+10  7.81e+07  1.15e+10  5.54e+01  0.993  1.51e-07	|  3.94e+07 
 0041  7.62e+10  1.43e+08  1.14e+10  3.74e+01  0.988  1.97e-07	|  1.23e+08 
 0042  7.65e+10  8.41e+07  1.04e+10  8.14e+01  0.992  2.08e-07	|  4.80e+07 
 0043  7.78e+10  1.74e+08  7.74e+09  4.45e+01  0.978  1.80e-07	|  1.57e+08 
 0044  7.56e+10  1.11e+08  9.44e+09  3.83e+01  0.988  1.66e-07	|  2.03e+07 
 0045  7.50e+10  1.94e+08  8.83e+09  4.32e+01  0.979  1.68e-07	|  1.79e+08 
 0046  7.32e+10  2.13e+08  8.27e+09  3.48e+01  0.975  1.17e-07	|  2.01e+08 
 0047  7.10e+10  8.70e+07  1.00e+10  4.62e+01  0.991  1.45e-07	|  2.27e+07 
 0048  7.18e+10  1.39e+08  8.87e+09  4.29e+01  0.985  2.16e-07	|  1.81e+07 
 0049  7.08e+10  1.44e+08  8.27e+09  4.43e+01  0.983  1.62e-07	|  1.16e+08 
