
## Largest 1146 Galaxies 
## from: /mnt/ceph/users/daisyleung/simba/sim/m25n1024/s50/Groups/m25n1024_036.hdf5
## 1146 @ z=5.930

 ID      Mstar     Mgas      MBH    fedd    SFR [Msun/yr]       r_baryon   r_gas      r_gas_half_mass      r_stellar    r_stellar_half_mass    Z_sfrWeighted [/Zsun]    Z_massWeighted     Z_stellar     T_gas_massWeighted    T_gas_SFRWeighted   fgas   nrho      Central	|  Mhalo     HID
 ----------------------------------------------------------------------------------------
 0000  6.53e+09  2.54e+10  0.00e+00  0.00e+00  4.90e+01  2.10e+01  2.10e+01  2.15e+00  2.03e+01  1.01e+00   0.158   0.001  0.002  2.06e+04  5.77e+04  0.795  2.29e-08  True	|  -1.00e+00  -1 
 0001  2.34e+09  1.13e+10  0.00e+00  0.00e+00  7.15e+00  1.52e+01  1.52e+01  2.63e+00  8.90e+00  6.68e-01   0.119   0.001  0.002  1.49e+04  3.67e+04  0.828  1.91e-08  True	|  -1.00e+00  -1 
 0002  7.34e+08  1.28e+10  0.00e+00  0.00e+00  6.27e+00  1.10e+01  1.10e+01  2.18e+00  6.65e+00  1.02e+00   0.095   0.000  0.001  1.53e+04  4.11e+04  0.946  1.91e-08  True	|  -1.00e+00  -1 
 0003  1.86e+09  7.75e+09  0.00e+00  0.00e+00  4.71e+00  7.20e+00  7.20e+00  2.31e+00  5.09e+00  8.10e-01   0.117   0.001  0.002  1.51e+04  3.15e+04  0.806  5.73e-09  True	|  -1.00e+00  -1 
 0004  1.79e+09  6.06e+09  0.00e+00  0.00e+00  9.89e+00  9.36e+00  9.36e+00  1.34e+00  9.05e+00  4.15e-01   0.124   0.001  0.002  1.98e+04  5.46e+04  0.772  1.34e-08  True	|  -1.00e+00  -1 
 0005  5.59e+08  7.26e+09  0.00e+00  0.00e+00  2.12e+00  1.25e+01  1.25e+01  5.54e+00  1.20e+01  7.95e+00   0.084   0.000  0.001  1.46e+04  3.81e+04  0.928  5.73e-09  True	|  -1.00e+00  -1 
 0006  3.15e+08  5.97e+09  0.00e+00  0.00e+00  1.69e+00  8.93e+00  8.93e+00  3.81e+00  6.89e+00  1.02e+00   0.076   0.000  0.001  1.28e+04  3.59e+04  0.950  5.73e-09  True	|  -1.00e+00  -1 
 0007  5.08e+08  5.47e+09  0.00e+00  0.00e+00  7.07e-01  1.28e+01  1.28e+01  2.67e+00  7.22e+00  4.41e-01   0.095   0.000  0.001  1.12e+04  2.26e+04  0.915  5.73e-09  True	|  -1.00e+00  -1 
 0008  2.32e+08  4.82e+09  0.00e+00  0.00e+00  1.47e+00  8.35e+00  8.35e+00  3.55e+00  8.20e+00  5.42e-01   0.067   0.000  0.001  1.38e+04  3.96e+04  0.954  7.64e-09  True	|  -1.00e+00  -1 
 0009  2.81e+08  4.69e+09  0.00e+00  0.00e+00  2.34e+00  5.57e+00  5.57e+00  1.35e+00  3.57e+00  5.42e-01   0.077   0.000  0.001  1.76e+04  4.04e+04  0.943  1.91e-09  True	|  -1.00e+00  -1 
 0010  8.09e+08  4.12e+09  0.00e+00  0.00e+00  6.90e+00  5.65e+00  5.65e+00  8.39e-01  2.59e+00  3.49e-01   0.110   0.000  0.001  2.07e+04  5.62e+04  0.836  3.82e-09  True	|  -1.00e+00  -1 
 0011  1.82e+08  4.33e+09  0.00e+00  0.00e+00  1.30e+00  6.55e+00  6.55e+00  1.65e+00  3.03e+00  7.19e-01   0.064   0.000  0.001  1.43e+04  5.05e+04  0.960  3.82e-09  True	|  -1.00e+00  -1 
 0012  1.08e+08  4.20e+09  0.00e+00  0.00e+00  9.06e-01  1.39e+01  1.39e+01  5.20e+00  6.71e+00  2.45e-01   0.075   0.000  0.001  1.15e+04  5.31e+04  0.975  1.53e-08  False	|  -1.00e+00  -1 
 0013  2.43e+08  3.96e+09  0.00e+00  0.00e+00  2.08e+00  1.48e+01  1.48e+01  1.56e+00  7.29e+00  3.72e-01   0.085   0.000  0.001  1.61e+04  3.86e+04  0.942  1.72e-08  True	|  -1.00e+00  -1 
 0014  4.82e+08  3.68e+09  0.00e+00  0.00e+00  3.07e+00  7.78e+00  7.78e+00  9.90e-01  6.56e+00  4.05e-01   0.085   0.000  0.001  1.91e+04  3.77e+04  0.884  5.73e-09  True	|  -1.00e+00  -1 
 0015  4.21e+08  3.70e+09  0.00e+00  0.00e+00  1.81e+00  6.02e+00  6.02e+00  1.22e+00  5.67e+00  3.55e-01   0.091   0.000  0.001  1.63e+04  3.83e+04  0.898  5.73e-09  True	|  -1.00e+00  -1 
 0016  1.98e+08  3.38e+09  0.00e+00  0.00e+00  8.49e-01  8.09e+00  8.09e+00  3.66e+00  7.10e+00  3.67e+00   0.070   0.000  0.001  1.39e+04  3.41e+04  0.945  1.34e-08  True	|  -1.00e+00  -1 
 0017  1.72e+08  3.26e+09  0.00e+00  0.00e+00  6.66e-01  8.60e+00  8.60e+00  2.16e+00  4.93e+00  2.93e-01   0.073   0.000  0.001  1.50e+04  3.51e+04  0.950  7.64e-09  True	|  -1.00e+00  -1 
 0018  4.33e+08  2.95e+09  0.00e+00  0.00e+00  1.47e+00  1.24e+01  1.24e+01  2.18e+00  1.17e+01  3.20e-01   0.092   0.000  0.001  1.49e+04  3.92e+04  0.872  3.82e-09  True	|  -1.00e+00  -1 
